GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
users,com.slinkdigital.user.domain.security,Role,127,3,22,0,7,1,21,1,10,1
users,com.slinkdigital.user.config,WebConfig,54,0,0,0,9,0,3,0,3,0
users,com.slinkdigital.user.config,CacheConfig,29,0,0,0,8,0,3,0,3,0
users,com.slinkdigital.user.config,SecurityConfig,84,0,0,0,11,0,4,0,4,0
users,com.slinkdigital.user.config,SwaggerConfiguration,39,0,0,0,9,0,3,0,3,0
users,com.slinkdigital.user.controller,UserController1,118,0,0,0,43,0,7,0,7,0
users,com.slinkdigital.user.controller,UserController2,182,0,0,0,60,0,10,0,10,0
users,com.slinkdigital.user.exception,ApiExceptionHandler,134,0,0,0,27,0,20,0,20,0
users,com.slinkdigital.user.exception,UserException,9,0,0,0,4,0,2,0,2,0
users,com.slinkdigital.user.startup,RoleAddition,4,0,0,0,2,0,2,0,2,0
users,com.slinkdigital.user.service.impl,EmailVerificationServiceImpl,97,0,2,0,24,0,3,0,2,0
users,com.slinkdigital.user.service.impl,UserServiceImpl,833,0,28,0,183,0,43,0,29,0
users,com.slinkdigital.user.service.impl,LoginAttemptService.new CacheLoader() {...},9,0,0,0,2,0,2,0,2,0
users,com.slinkdigital.user.service.impl,RefreshTokenServiceImpl,64,0,0,0,15,0,4,0,4,0
users,com.slinkdigital.user.service.impl,PasswordResetServiceImpl,206,0,8,0,38,0,8,0,4,0
users,com.slinkdigital.user.service.impl,UserDetailsServiceImpl,94,0,4,0,17,0,8,0,6,0
users,com.slinkdigital.user.service.impl,LoginAttemptService,66,0,2,0,16,0,5,0,4,0
users,com.slinkdigital.user.validator,EmailValidator,13,0,0,0,5,0,3,0,3,0
users,com.slinkdigital.user.domain,Users.UsersBuilder,102,0,6,0,1,0,13,0,10,0
users,com.slinkdigital.user.domain,RefreshToken,250,3,46,0,7,1,38,1,15,1
users,com.slinkdigital.user.domain,PasswordResetToken,254,3,46,0,8,1,39,1,16,1
users,com.slinkdigital.user.domain,PasswordResetToken.PasswordResetTokenBuilder,54,0,0,0,1,0,8,0,8,0
users,com.slinkdigital.user.domain,EmailVerificationToken,254,3,46,0,8,1,39,1,16,1
users,com.slinkdigital.user.domain,EmailVerificationToken.EmailVerificationTokenBuilder,54,0,0,0,1,0,8,0,8,0
users,com.slinkdigital.user.domain,Users,340,22,62,0,7,4,51,4,20,4
users,com.slinkdigital.user.constant,DefaultRoles,3,0,0,0,1,0,1,0,1,0
users,com.slinkdigital.user.constant,UserImplConstant,3,0,0,0,1,0,1,0,1,0
users,com.slinkdigital.user.constant,SecurityConstant,19,0,0,0,2,0,2,0,2,0
users,com.slinkdigital.user.constant,EmailConstant,3,0,0,0,1,0,1,0,1,0
users,com.slinkdigital.user.constant,Authority,67,0,0,0,6,0,2,0,2,0
users,com.slinkdigital.user.constant,FileConstant,8,0,0,0,2,0,2,0,2,0
users,com.slinkdigital.user.dto,ApiResponse,280,0,46,0,9,0,41,0,18,0
users,com.slinkdigital.user.dto,UserDto.UserDtoBuilder,63,0,0,0,1,0,9,0,9,0
users,com.slinkdigital.user.dto,UserDto,300,0,54,0,10,0,46,0,19,0
users,com.slinkdigital.user.dto,ApiResponse.ApiResponseBuilder,45,0,0,0,1,0,7,0,7,0
users,com.slinkdigital.user.dto,EventDto,186,0,30,0,7,0,29,0,14,0
users,com.slinkdigital.user.dto,EventDto.EventDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
users,com.slinkdigital.user.dto,NotificationEmail,171,0,30,0,7,0,28,0,13,0
users,com.slinkdigital.user.dto,PasswordResetRequest,171,0,30,0,7,0,28,0,13,0
users,com.slinkdigital.user.dto,UpdatePasswordRequest.UpdatePasswordRequestBuilder,36,0,0,0,1,0,6,0,6,0
users,com.slinkdigital.user.dto,PasswordResetRequest.PasswordResetRequestBuilder,36,0,0,0,1,0,6,0,6,0
users,com.slinkdigital.user.dto,ApiResponse.ApiResponseBuilderImpl,7,0,0,0,1,0,2,0,2,0
users,com.slinkdigital.user.dto,UpdatePasswordRequest,171,0,30,0,7,0,28,0,13,0
users,com.slinkdigital.user.dto,EmailRequest,81,0,14,0,4,0,15,0,8,0
users,com.slinkdigital.user.dto,EventDto.EventDtoBuilder,29,0,0,0,1,0,5,0,5,0
users,com.slinkdigital.user.dto,RegisterRequest,167,0,30,0,6,0,27,0,12,0
users,com.slinkdigital.user.dto,UserRequest,124,0,22,0,5,0,21,0,10,0
users,com.slinkdigital.user.dto,JwtAuthResponse.JwtAuthResponseBuilder,36,0,0,0,1,0,6,0,6,0
users,com.slinkdigital.user.dto,RefreshTokenRequest,124,0,22,0,5,0,21,0,10,0
users,com.slinkdigital.user.dto,LoginRequest,124,0,22,0,5,0,21,0,10,0
users,com.slinkdigital.user.dto,NotificationEmail.NotificationEmailBuilder,36,0,0,0,1,0,6,0,6,0
users,com.slinkdigital.user.dto,JwtAuthResponse,171,0,30,0,7,0,28,0,13,0
users,com.slinkdigital.user.listener,AuthenticationSuccessListener,24,0,2,0,6,0,3,0,2,0
users,com.slinkdigital.user.listener,AuthenticationFailureListener,23,0,2,0,8,0,3,0,2,0
users,com.slinkdigital.user,UserApplication,5,156,0,0,2,11,1,2,1,2
users,com.slinkdigital.user.security,JwtProvider,376,0,50,0,39,0,45,0,20,0
